time,latitude,longitude,speed,direction,date,magnetic declination,status,facing,facing2,sys_timestamp
071911.40,3106.79434855,10345.46858462,0.005,27.0,090925,2.0,A,North,East,1757402350.9670315
071911.50,3106.79434916,10345.46858441,0.005,26.8,090925,2.0,A,North,East,1757402351.073296
071911.60,3106.79434968,10345.46858405,0.004,34.0,090925,2.0,A,North,East,1757402351.1712823
071911.70,3106.79435019,10345.46858368,0.004,32.6,090925,2.0,A,North,East,1757402351.2726457
071911.80,3106.79435069,10345.46858330,0.003,35.8,090925,2.0,A,North,East,1757402351.3641837
071911.90,3106.79435101,10345.46858310,0.003,42.0,090925,2.0,A,North,East,1757402351.4723182
071912.00,3106.79435133,10345.46858289,0.004,43.1,090925,2.0,A,North,East,1757402351.5703597
071912.10,3106.79435183,10345.46858254,0.004,30.7,090925,2.0,A,North,East,1757402351.6726213
071912.20,3106.79435212,10345.46858237,0.003,40.6,090925,2.0,A,North,East,1757402351.7741354
071912.30,3106.79435238,10345.46858220,0.003,54.4,090925,2.0,A,North,East,1757402351.8707001
071912.40,3106.79435262,10345.46858205,0.003,78.4,090925,2.0,A,North,East,1757402351.964792
071912.50,3106.79435287,10345.46858189,0.003,75.6,090925,2.0,A,North,East,1757402352.073622
071912.60,3106.79435311,10345.46858177,0.004,86.5,090925,2.0,A,North,East,1757402352.1742587
071912.70,3106.79435332,10345.46858166,0.004,95.7,090925,2.0,A,North,East,1757402352.265414
071912.80,3106.79435354,10345.46858155,0.003,91.6,090925,2.0,A,North,East,1757402352.3757164
071912.90,3106.79435375,10345.46858142,0.003,97.2,090925,2.0,A,North,East,1757402352.4734237
071913.00,3106.79435395,10345.46858131,0.002,88.7,090925,2.0,A,North,East,1757402352.5728092
071913.10,3106.79435415,10345.46858120,0.003,83.5,090925,2.0,A,North,East,1757402352.6747274
071913.20,3106.79435436,10345.46858111,0.003,80.3,090925,2.0,A,North,East,1757402352.7770555
071913.30,3106.79435454,10345.46858103,0.003,79.7,090925,2.0,A,North,East,1757402352.8732748
071913.40,3106.79435472,10345.46858094,0.002,76.3,090925,2.0,A,North,East,1757402352.9732409
071913.50,3106.79435487,10345.46858087,0.002,77.0,090925,2.0,A,North,East,1757402353.0744421
071913.60,3106.79435503,10345.46858079,0.002,101.2,090925,2.0,A,North,East,1757402353.1759243
071913.70,3106.79435521,10345.46858071,0.002,92.6,090925,2.0,A,North,East,1757402353.2715032
071913.80,3106.79435539,10345.46858064,0.002,90.4,090925,2.0,A,North,East,1757402353.3706594
071913.90,3106.79435557,10345.46858058,0.002,83.8,090925,2.0,A,North,East,1757402353.4752655
071914.00,3106.79435576,10345.46858049,0.002,80.8,090925,2.0,A,North,East,1757402353.5656536
071914.10,3106.79435596,10345.46858040,0.002,92.7,090925,2.0,A,North,East,1757402353.6714087
071914.20,3106.79435615,10345.46858030,0.001,80.5,090925,2.0,A,North,East,1757402353.7709014
071914.30,3106.79435634,10345.46858021,0.001,34.2,090925,2.0,A,North,East,1757402353.8771946
071914.40,3106.79435652,10345.46858014,0.002,26.3,090925,2.0,A,North,East,1757402353.9735959
071914.50,3106.79435670,10345.46858007,0.002,27.4,090925,2.0,A,North,East,1757402354.0681577
071914.60,3106.79435688,10345.46858001,0.002,51.3,090925,2.0,A,North,East,1757402354.1652837
071914.70,3106.79435703,10345.46857997,0.002,92.4,090925,2.0,A,North,East,1757402354.2662096
071914.80,3106.79435719,10345.46857993,0.003,77.5,090925,2.0,A,North,East,1757402354.3781846
071914.90,3106.79435738,10345.46857990,0.003,47.8,090925,2.0,A,North,East,1757402354.47268
071915.00,3106.79435757,10345.46857989,0.004,40.8,090925,2.0,A,North,East,1757402354.5717268
071915.10,3106.79435775,10345.46857988,0.004,57.4,090925,2.0,A,North,East,1757402354.672616
071915.20,3106.79435794,10345.46857987,0.004,65.5,090925,2.0,A,North,East,1757402354.7706077
071915.30,3106.79435814,10345.46857986,0.004,65.9,090925,2.0,A,North,East,1757402354.8693297
071915.40,3106.79435832,10345.46857986,0.004,72.5,090925,2.0,A,North,East,1757402354.966944
071915.50,3106.79435852,10345.46857985,0.004,59.8,090925,2.0,A,North,East,1757402355.0682545
071915.60,3106.79435875,10345.46857981,0.004,29.0,090925,2.0,A,North,East,1757402355.1656837
071915.70,3106.79435898,10345.46857978,0.004,19.2,090925,2.0,A,North,East,1757402355.263296
071915.80,3106.79435922,10345.46857975,0.005,32.8,090925,2.0,A,North,East,1757402355.3644104
071915.90,3106.79435947,10345.46857970,0.004,25.4,090925,2.0,A,North,East,1757402355.4752483
071916.00,3106.79435975,10345.46857965,0.005,16.6,090925,2.0,A,North,East,1757402355.5763888
071916.10,3106.79436005,10345.46857958,0.005,9.8,090925,2.0,A,North,East,1757402355.6682136
071916.20,3106.79436037,10345.46857950,0.005,12.8,090925,2.0,A,North,East,1757402355.766072
071916.30,3106.79436072,10345.46857939,0.006,7.0,090925,2.0,A,North,East,1757402355.8669593
071916.40,3106.79436112,10345.46857924,0.006,359.2,090925,2.0,A,North,East,1757402355.9744527
071916.50,3106.79436153,10345.46857908,0.006,0.8,090925,2.0,A,North,East,1757402356.0706775
071916.60,3106.79436195,10345.46857892,0.006,356.4,090925,2.0,A,North,East,1757402356.1706371
071916.70,3106.79436237,10345.46857877,0.007,358.9,090925,2.0,A,North,East,1757402356.2705362
071916.80,3106.79436280,10345.46857862,0.007,2.9,090925,2.0,A,North,East,1757402356.3764553
071916.90,3106.79436321,10345.46857849,0.007,3.9,090925,2.0,A,North,East,1757402356.4736383
071917.00,3106.79436362,10345.46857836,0.007,2.7,090925,2.0,A,North,East,1757402356.571369
071917.10,3106.79436403,10345.46857823,0.006,10.0,090925,2.0,A,North,East,1757402356.67429
071917.20,3106.79436439,10345.46857811,0.007,3.2,090925,2.0,A,North,East,1757402356.7720468
071917.30,3106.79436473,10345.46857799,0.006,2.3,090925,2.0,A,North,East,1757402356.8664868
071917.40,3106.79436511,10345.46857790,0.006,13.6,090925,2.0,A,North,East,1757402356.965559
071917.50,3106.79436545,10345.46857783,0.005,15.5,090925,2.0,A,North,East,1757402357.067598
071917.60,3106.79436574,10345.46857780,0.005,16.5,090925,2.0,A,North,East,1757402357.1667452
071917.70,3106.79436606,10345.46857776,0.005,20.9,090925,2.0,A,North,East,1757402357.2804384
